Wall time,Step,Value
1588189916.881331,0,1.7789011001586914
1588190032.9974484,573,0.20050810277462006
1588190152.986504,1191,0.4947142004966736
1588190272.982663,1809,0.08085719496011734
1588190393.028576,2428,0.1300039291381836
1588190512.9646204,3047,0.12186791747808456
1588190633.0597327,3665,0.13108530640602112
1588190753.0200508,4283,0.10804170370101929
1588190873.0509076,4901,0.12739361822605133
1588190993.0411093,5513,0.18890640139579773
1588191113.0171523,6119,0.15364989638328552
1588191232.983616,6730,0.040284037590026855
1588191352.9702005,7339,0.10043291002511978
1588191473.003733,7952,0.05140543356537819
1588191593.0030615,8559,0.05689947307109833
1588191712.9902434,9162,0.026353156194090843
1588191832.9771755,9770,0.10414908826351166
1588191953.0287852,10384,0.11007393151521683
1588192072.9665842,10993,0.09254913032054901
1588192192.9599018,11601,0.07409283518791199
1588192313.0644841,12209,0.03686308115720749
1588192432.992812,12816,0.029421888291835785
1588192552.9627428,13429,0.09283839911222458
1588192673.0065618,14035,0.11769130080938339
1588192793.030496,14643,0.03714151680469513
1588192912.9852426,15247,0.035309258848428726
1588193032.9651778,15853,0.04452890902757645
1588193152.990803,16461,0.04617873579263687
1588193272.9847765,17071,0.050883449614048004
1588193392.9762208,17679,0.042869556695222855
1588193513.0042374,18290,0.05559665709733963
1588193632.97897,18897,0.041773051023483276
1588193752.9955711,19507,0.05264684185385704
1588193873.0292175,20116,0.037046317011117935
1588193993.0073142,20727,0.0325089693069458
1588194112.9827833,21333,0.03762231767177582
1588194232.9619067,21943,0.05091128125786781
1588194352.9834096,22557,0.06232369691133499
1588194473.021332,23166,0.0765167623758316
1588194593.0103836,23773,0.08963818848133087
1588194713.0000184,24380,0.08573359996080399
1588194832.9758542,24990,0.059210002422332764
1588194953.0240517,25596,0.04614393413066864
1588195072.9799619,26206,0.10667238384485245
1588195192.9721937,26814,0.033038750290870667
1588195313.0188947,27423,0.032604947686195374
1588195432.9961014,28029,0.05965905264019966
1588195552.994164,28642,0.013810141012072563
1588195673.0402362,29251,0.025477835908532143
1588195792.9814043,29858,0.0542418472468853
1588195912.9641483,30465,0.04987793788313866
1588196032.9630394,31072,0.02290276810526848
1588196153.0611959,31680,0.022540954872965813
1588196273.0660212,32289,0.017601855099201202
1588196392.9615524,32894,0.10262828320264816
1588196513.0427315,33504,0.06742675602436066
1588196632.990037,34110,0.020954575389623642
1588196753.0052986,34722,0.025848252698779106
1588196872.9740672,35328,0.024869898334145546
1588196993.0255735,35934,0.033187221735715866
1588197113.0757694,36542,0.031652141362428665
1588197232.9549222,37147,0.009273864328861237
1588197352.9560432,37759,0.06250255554914474
1588197472.9791973,38369,0.05858417972922325
1588197592.9896588,38977,0.08031870424747467
1588197712.989098,39585,0.047142840921878815
1588197833.0243065,40190,0.013328035362064838
1588197953.011619,40793,0.023106113076210022
1588198073.0321007,41402,0.028251543641090393
1588198193.0400488,42010,0.046852678060531616
1588198312.9840662,42618,0.05101751163601875
1588198432.9739864,43225,0.011361459270119667
1588198552.9876814,43834,0.011241590604186058
1588198672.9924328,44442,0.013687294907867908
1588198792.9736762,45048,0.009042349644005299
1588198912.975127,45655,0.06547192484140396
1588199033.0289207,46261,0.02788187563419342
1588199152.9821546,46869,0.013151740655303001
1588199273.017199,47480,0.03516663983464241
1588199393.0073326,48088,0.023274363949894905
1588199512.9909608,48693,0.013007288798689842
1588199632.984495,49301,0.05744506046175957
1588199752.976962,49913,0.04511728137731552
1588199872.9558604,50522,0.01651269569993019
1588199992.982838,51129,0.046906884759664536
1588200113.0124588,51735,0.023797014728188515
1588200232.9582715,52342,0.09321324527263641
1588200353.0304892,52955,0.024588337168097496
1588200472.9994078,53567,0.056730717420578
1588200592.9322531,54176,0.04737020656466484
1588200713.016038,54782,0.013529105111956596
1588200832.9638011,55391,0.01598682627081871
1588200952.9799266,56003,0.029378285631537437
1588201073.0433574,56612,0.01987326703965664
1588201193.0288787,57219,0.014902513474225998
1588201313.0384803,57829,0.018282391130924225
1588201433.0134928,58439,0.036618322134017944
1588201553.0705185,59048,0.006448488216847181
1588201673.0015569,59661,0.020310597494244576
1588201792.9698331,60268,0.038897495716810226
1588201912.9727798,60876,0.02790970727801323
1588202032.9631736,61482,0.014504622668027878
1588202152.9706285,62091,0.03795711323618889
1588202272.9641433,62697,0.010632731020450592
1588202393.0424352,63304,0.004818334244191647
1588202513.0080478,63913,0.018698040395975113
1588202632.9523861,64523,0.028650272637605667
1588202752.9719152,65133,0.06213068962097168
1588202872.9588766,65741,0.00666204234585166
1588202992.9834046,66352,0.020622484385967255
1588203112.990907,66960,0.010852239094674587
1588203232.9946637,67571,0.026452934369444847
1588203352.9751687,68178,0.018084999173879623
1588203472.9955347,68787,0.011691158637404442
1588203593.236459,69396,0.03014589287340641
1588203712.9834843,70006,0.08696750551462173
1588203832.9912472,70611,0.01673951745033264
1588203953.009453,71222,0.011496898718178272
1588204072.9843879,71830,0.01906433328986168
1588204193.3471265,72441,0.057618074119091034
1588204313.0204682,73047,0.0195759404450655
1588204433.0329263,73657,0.013728667981922626
1588204553.0090113,74267,0.031014008447527885
1588204672.997295,74874,0.0062273708172142506
1588204793.0378306,75483,0.01399576012045145
1588204913.065322,76091,0.02269231155514717
1588205032.9673605,76696,0.017219532281160355
1588205152.974446,77313,0.017349421977996826
1588205272.9778852,77930,0.007634976878762245
1588205392.9992645,78547,0.038607172667980194
1588205512.9685938,79164,0.0213639996945858
1588205633.017482,79782,0.00944752711802721
1588205753.0192504,80401,0.009149237535893917
1588205872.9717717,81019,0.03501486778259277
1588205993.0539062,81635,0.009694143198430538
1588206113.0306253,82244,0.01706310547888279
1588206232.9674933,82857,0.014935603365302086
1588206353.0468197,83464,0.0032581747509539127
1588206472.9411476,84073,0.012121596373617649
