Wall time,Step,Value
1588015486.406103,0,1.5019270181655884
1588015602.1662273,249,0.9604318737983704
1588015721.7221498,675,0.27314138412475586
1588015841.6863825,1234,0.3614426553249359
1588015961.715058,1794,0.13852694630622864
1588016081.716681,2353,0.2435133457183838
1588016201.719867,2909,0.10312403738498688
1588016321.6994417,3468,0.2829267084598541
1588016441.7146142,4028,0.18111805617809296
1588016561.7144318,4587,0.22375556826591492
1588016681.6878324,5148,0.19458989799022675
1588016801.7210357,5707,0.11066340655088425
1588016921.7309148,6267,0.08580298721790314
1588017041.7096322,6827,0.11613890528678894
1588017161.7064033,7386,0.059099432080984116
1588017281.7012184,7947,0.11040200293064117
1588017401.6970677,8499,0.06608468294143677
1588017521.6676948,9051,0.1151621863245964
1588017641.713974,9606,0.044564276933670044
1588017761.721688,10160,0.14631909132003784
1588017881.7387717,10716,0.09199713170528412
1588018001.7308242,11270,0.04365229234099388
1588018121.7428842,11808,0.039979223161935806
1588018241.73079,12357,0.12420786172151566
1588018361.6897378,12906,0.05386556684970856
1588018481.7109432,13461,0.06579093635082245
1588018601.714807,14007,0.04383888095617294
1588018721.7221863,14551,0.10388508439064026
1588018841.7117827,15099,0.05157230421900749
1588018961.7159762,15651,0.04090198501944542
1588019081.7043567,16200,0.035345301032066345
1588021627.1869068,16751,0.03491321951150894
1588021627.5900705,16752,0.07249562442302704
1588021627.7945232,16752,0.06470658630132675
1588021628.0059586,16753,0.029172537848353386
1588021628.27125,16754,0.10094806551933289
1588021628.5295599,16755,0.09386438131332397
1588021628.7699165,16756,0.048676323145627975
1588021629.0172565,16756,0.0780385285615921
1588021629.2456455,16757,0.027957623824477196
1588021629.4870017,16758,0.09001563489437103
1588021629.7054172,16759,0.02305666171014309
1588021629.9681318,16760,0.056877657771110535
1588021630.2054634,16761,0.2772669494152069
1588021630.4438267,16762,0.09059426188468933
1588021630.6821883,16762,0.07058006525039673
1588021630.9035978,16763,0.04898516833782196
1588021631.1130369,16764,0.13379156589508057
1588021631.3703506,16765,0.05946006625890732
1588021631.64362,16766,0.13689398765563965
1588021631.8720093,16767,0.0885823667049408
1588021632.092421,16767,0.023684252053499222
1588021721.687883,17188,0.12519310414791107
1588021841.7047489,17753,0.12963417172431946
1588021961.6804533,18313,0.05295625329017639
1588022081.7025015,18874,0.06785668432712555
1588022201.7468162,19429,0.06679253280162811
1588022321.6965363,19992,0.1203494593501091
1588022441.734196,20556,0.11320264637470245
1588022561.7187462,21115,0.021781474351882935
1588022681.692854,21677,0.2598327398300171
1588022801.6876986,22238,0.03674738109111786
1588022921.6839507,22802,0.11846335977315903
1588023041.717194,23365,0.03770802542567253
1588023161.71377,23926,0.030562780797481537
1588023281.7015285,24489,0.0334353893995285
1588023401.7178059,25050,0.16416919231414795
1588023521.6857336,25611,0.017071742564439774
1588023641.7261384,26166,0.05016466602683067
1588023761.6908278,26721,0.04640072584152222
1588023881.732833,27280,0.018035193905234337
1588024001.7099915,27834,0.09195936471223831
1588024121.6984158,28392,0.07311153411865234
1588024241.7207627,28950,0.13729946315288544
1588024361.7065365,29505,0.04513902962207794
1588024481.6910667,30050,0.06255753338336945
1588024601.673089,30598,0.024959122762084007
1588024721.8229399,31152,0.02542923577129841
1588024841.6946476,31694,0.08003410696983337
1588024961.7070842,32245,0.0407671220600605
1588025081.6986053,32799,0.13351134955883026
1588026337.0135455,33329,0.03357838839292526
1588026337.2150068,33330,0.013419484719634056
1588026337.4812958,33331,0.049840763211250305
1588026337.7355494,33332,0.02758781984448433
1588026337.9669137,33333,0.03855384886264801
1588026338.1982965,33333,0.04817903786897659
1588026338.420703,33334,0.042023636400699615
1588026338.6281807,33335,0.19878418743610382
1588026338.8824883,33336,0.05239751189947128
1588026339.146762,33337,0.08513680845499039
1588026401.7181666,33643,0.056088291108608246
1588026521.7045698,34207,0.032693877816200256
1588026641.6832142,34766,0.04997456073760986
1588026761.7138255,35329,0.04117852449417114
1588026881.7159915,35889,0.021717773750424385
1588027001.7158558,36453,0.07110927999019623
1588027121.71909,37015,0.017798956483602524
1588027241.6843896,37576,0.05208594724535942
1588027361.702861,38139,0.028981171548366547
1588027481.7144108,38702,0.03766372799873352
1588027601.6642728,39266,0.02543415129184723
1588027721.7091186,39830,0.033762283623218536
1588027841.7001987,40394,0.010058043524622917
1588027961.6921203,40957,0.08071917295455933
1588028081.7203321,41521,0.03658584505319595
1588028201.6951697,42084,0.03129845857620239
1588028321.7200305,42649,0.041285645216703415
1588028441.7012408,43209,0.0703129693865776
1588028561.730381,43767,0.029281646013259888
1588028681.6904943,44332,0.021316582337021828
1588028801.7005012,44895,0.04235435649752617
1588028921.6904848,45458,0.02145414985716343
1588029041.6915166,46021,0.07689172774553299
1588029161.715406,46585,0.02703613042831421
1588029281.7266035,47147,0.0697610005736351
1588029401.7211192,47709,0.04702850431203842
1588029521.7000763,48274,0.04717635735869408
1588029641.7132635,48836,0.021491993218660355
1588029761.6787422,49399,0.07991335541009903
1588029881.71766,49964,0.02893052063882351
1588030001.6690443,50526,0.039892613887786865
1588030121.686258,51089,0.027055511251091957
1588030241.683812,51651,0.044076383113861084
1588030361.6886256,52216,0.027781642973423004
1588030481.7112675,52771,0.040029946714639664
1588030601.6978788,53329,0.03088461235165596
1588030721.7041156,53887,0.05809982120990753
1588030841.69832,54444,0.04744405299425125
1588030961.7091625,55003,0.011553676798939705
1588031081.7041965,55566,0.047782182693481445
1588031201.6951416,56122,0.022042838856577873
1588031321.6683607,56675,0.04934694617986679
1588031441.7269125,57234,0.033022526651620865
1588031561.7085783,57786,0.007782266940921545
1588031681.704231,58341,0.02048603445291519
1588031801.7179244,58899,0.02914675511419773
1588031921.6882448,59444,0.061341941356658936
1588032041.7006125,59990,0.024201249703764915
1588032161.7155979,60539,0.008697252720594406
1588093175.1066432,60968,0.04820815846323967
1588093175.8063483,60968,0.019894536584615707
1588093175.980881,60969,0.016344662755727768
1588093176.203285,60969,0.053275398910045624
1588093176.4067445,60970,0.03154631331562996
1588093176.6092017,60971,0.03297330439090729
1588093176.8395858,60972,0.019459951668977737
1588093177.0819662,60973,0.012395095080137253
1588093177.3532128,60974,0.008876755833625793
1588093177.5716293,60974,0.009072603657841682
1588093177.7761362,60975,0.018765157088637352
1588093178.0832617,60976,0.016517210751771927
1588093178.32661,60976,0.01989750564098358
1588093178.5440297,60977,0.04605226218700409
1588093178.733524,60978,0.04227667674422264
1588093178.9748776,60979,0.027844171971082687
1588093179.2352195,60980,0.05010770633816719
1588093179.4914985,60981,0.023764830082654953
1588093179.7587838,60982,0.04881681874394417
1588093180.0490408,60983,0.01541185099631548
1588093180.286373,60983,0.014904119074344635
1588093180.5057874,60984,0.026962237432599068
1588093180.79302,60984,0.010171400383114815
1588093181.0373676,60985,0.03340425714850426
1588093181.247804,60986,0.07765685021877289
1588093181.4353037,60987,0.030874628573656082
1588093181.6826422,60988,0.07201223075389862
1588093181.9249947,60989,0.007966487668454647
1588093182.1723323,60990,0.026134101673960686
1588093182.4216678,60991,0.0319565124809742
1588093182.6640522,60992,0.0575442798435688
1588093182.9183385,60993,0.022175736725330353
1588093183.1627195,60994,0.029286470264196396
1588093183.4120202,60995,0.018024079501628876
1588093183.6653435,60996,0.03810078650712967
1588093183.908693,60997,0.0301964208483696
1588093184.1670027,60998,0.017366992309689522
1588093184.4303522,60999,0.021184399724006653
1588093184.6287694,60999,0.010555051267147064
1588093184.854219,61000,0.20684576034545898
1588093185.1463845,61001,0.01708786003291607
1588093185.3837497,61001,0.022384127601981163
1588093185.5941877,61002,0.01872256211936474
1588093185.798643,61003,0.012522581964731216
1588093186.0300236,61004,0.01161721907556057
1588093186.276391,61005,0.021150153130292892
1588093186.5017626,61006,0.01362000871449709
1588093186.72716,61006,0.0495150052011013
1588093187.0532887,61007,0.016052408143877983
1588093187.290655,61008,0.005382751580327749
1588093187.5060778,61009,0.01695728674530983
1588093187.8112636,61010,0.0131412073969841
1588093188.10448,61010,0.011203689500689507
1588093188.3189065,61011,0.04187052696943283
1588093188.5163803,61012,0.029989905655384064
1588093188.7547417,61013,0.054984673857688904
1588093188.9981256,61014,0.032384585589170456
1588093189.2514138,61015,0.005654859356582165
1588093189.5167046,61016,0.008540570735931396
1588093189.8059323,61017,0.015164263546466827
1588093190.0672333,61017,0.11463288962841034
1588093190.256763,61018,0.03111562505364418
1588093190.618789,61019,0.07639163732528687
1588093190.9119775,61019,0.026702575385570526
1588093191.1832511,61020,0.030355535447597504
1588093191.490431,61021,0.02919161133468151
1588093191.8075821,61022,0.02239023707807064
1588093192.0878341,61023,0.015269945375621319
1588093192.356116,61024,0.01695011928677559
1588093192.5805168,61025,0.037438951432704926
1588093192.8747315,61026,0.06141461059451103
1588093193.1180801,61027,0.02041730470955372
1588093193.428283,61028,0.021732458844780922
1588093193.7703366,61029,0.003972436301410198
1588093194.015681,61029,0.013313420116901398
1588093194.293937,61030,0.05096772313117981
1588093194.5482574,61031,0.05054673179984093
1588093194.800583,61032,0.034261055290699005
1588093195.0858228,61033,0.017251398414373398
1588093195.3162053,61034,0.040170639753341675
1588093195.5625477,61035,0.028796065598726273
1588093195.7889426,61036,0.01759716123342514
1588093196.025345,61037,0.019511399790644646
1588093196.2796657,61038,0.046472255140542984
1588093196.5250072,61039,0.030043266713619232
1588093196.878032,61040,0.03949246183037758
1588093197.1034298,61041,0.018114261329174042
1588093197.3897152,61042,0.07210776954889297
1588093197.6968756,61043,0.030298136174678802
1588093197.9162564,61043,0.04961933195590973
1588093198.2124643,61044,0.016244811937212944
1588093241.9426293,61045,0.039612676948308945
1588093351.278542,61298,0.04284203425049782
1588093471.2942097,61744,0.013065295293927193
1588093591.3141775,62311,0.02231183461844921
1588093711.3707268,62878,0.02089303731918335
1588093831.2982957,63445,0.04796946048736572
1588093951.3450792,64012,0.015885289758443832
1588094071.2903035,64581,0.02104203775525093
1588094191.3024657,65148,0.02605169452726841
1588094311.293939,65709,0.035902947187423706
1588094431.275107,66271,0.013889885507524014
1588094551.2872941,66834,0.02247365564107895
1588094671.2912998,67397,0.028102511540055275
1588094791.2685897,67958,0.011201467365026474
1588094911.286015,68522,0.035359449684619904
1588095031.3335617,69084,0.04992084205150604
1588095151.387986,69652,0.01412589754909277
1588095271.3396356,70223,0.06228407472372055
1588095391.3264918,70790,0.018943671137094498
1588095511.3383899,71357,0.0235801562666893
1588095631.3567414,71925,0.022733081132173538
1588095751.3056273,72491,0.008089597336947918
1588095871.2924428,73058,0.023650649935007095
1588095991.33493,73626,0.05590845271945
1588096111.327638,74193,0.0053279465064406395
1588096231.351581,74760,0.00945363100618124
1588096351.2925813,75327,0.01560114324092865
1588096471.2820952,75895,0.03931751474738121
1588096591.3061192,76461,0.07671362161636353
1588096711.3003073,77028,0.020789965987205505
1588096831.3082938,77596,0.013067305088043213
1588096951.3229096,78159,0.022577252238988876
1588097071.3211195,78730,0.014099214226007462
1588097191.2968132,79294,0.07139213383197784
1588097311.3033342,79857,0.04271647706627846
1588097431.3166919,80420,0.018410298973321915
1588097551.3154328,80980,0.025855019688606262
1588097671.356349,81544,0.036582522094249725
1588097791.302785,82106,0.0708315521478653
1588097911.332388,82668,0.04350775107741356
1588098031.3480759,83237,0.011523285880684853
1588098151.3347466,83803,0.02043500915169716
1588098271.2987585,84371,0.015875963494181633
1588098391.295568,84938,0.031518228352069855
1588098511.2974982,85505,0.028548888862133026
1588098631.3471317,86072,0.01940767467021942
1588098751.3337224,86637,0.01943407580256462
1588098871.2967756,87202,0.0076455529779195786
1588098991.3008676,87765,0.026071324944496155
1588099111.2903342,88332,0.10557858645915985
1588099231.3389666,88895,0.014043706469237804
1588099351.273103,89454,0.01182522252202034
1588099471.3079302,90012,0.013451941311359406
1588099591.3195121,90575,0.044774167239665985
1588099711.3117754,91135,0.00542820617556572
1588099831.3851404,91698,0.04913725703954697
1588099951.3623424,92257,0.031050195917487144
1588100071.3339236,92819,0.01570342667400837
1588100191.3067684,93379,0.016745343804359436
1588100311.2890072,93940,0.013785259798169136
1588100431.3117533,94502,0.014277785085141659
1588100551.3090408,95064,0.028243429958820343
1588100671.279662,95626,0.038602326065301895
1588100791.3277047,96183,0.012065866030752659
1588100911.3120744,96745,0.06956901401281357
1588101031.3318286,97307,0.008656307123601437
1588101151.3382232,97868,0.010064372792840004
1588101271.317937,98433,0.017805960029363632
1588101391.3148131,98996,0.05049080029129982
1588101511.324069,99554,0.011075856164097786
1588101631.3150177,100118,0.036195285618305206
1588101751.3309202,100679,0.011448061093688011
1588101871.3049605,101238,0.0064361500553786755
1588101991.2970116,101799,0.010254839435219765
1588102111.3046277,102358,0.011923914775252342
1588102231.336752,102918,0.02115485817193985
1588102351.33353,103476,0.029242273420095444
1588102471.3007963,104036,0.00398007407784462
1588102591.3137856,104599,0.029332585632801056
1588102711.3796492,105159,0.01699303835630417
1588102831.304579,105717,0.010889150202274323
1588102951.324733,106279,0.042513154447078705
1588103071.3273838,106845,0.007422764785587788
1588103191.2972817,107414,0.012840785086154938
1588103311.3674624,107975,0.030919207260012627
1588103431.3227422,108536,0.04040854796767235
1588103551.2995234,109102,0.0643395334482193
1588103671.3346186,109663,0.02243015170097351
1588103791.3480344,110225,0.06117185577750206
1588103911.3267334,110784,0.006493167951703072
1588104031.342877,111346,0.013769624754786491
1588104151.3565419,111910,0.015466866083443165
1588104271.2896378,112471,0.0055252667516469955
1588104391.349713,113034,0.013363994657993317
1588104511.3845434,113589,0.00854468159377575
1588104631.3704193,114156,0.00318376743234694
1588104751.3769784,114722,0.044677428901195526
1588104871.3602364,115289,0.055812083184719086
1588104991.3790033,115855,0.0067894975654780865
1588105111.3355474,116421,0.0085349902510643
1588105231.322179,116990,0.016629314050078392
1588105351.2901723,117557,0.005231411196291447
1588105471.2969937,118122,0.010659946128726006
1588105591.331239,118684,0.03953159227967262
1588105711.3118541,119245,0.02619120664894581
1588105831.3224258,119806,0.01961575821042061
1588105951.3045006,120369,0.03606267645955086
1588106071.3259826,120927,0.0028979573398828506
1588106191.3115041,121487,0.02009446546435356
1588106311.3318539,122049,0.013223721645772457
1588106431.4058156,122613,0.011754265055060387
1588106551.3233895,123176,0.028158685192465782
1588106671.313145,123737,0.05936206877231598
1588106791.3414998,124299,0.004692507442086935
1588106911.3144863,124857,0.011782120913267136
1588107031.3824773,125418,0.004979842808097601
1588107151.2650802,125979,0.007248012814670801
1588107271.3816185,126539,0.008449535816907883
1588107391.2955189,127099,0.010559260845184326
1588107511.3465004,127661,0.01153064239770174
1588107631.3350697,128222,0.020639419555664062
1588107751.3723135,128780,0.008963236585259438
1588107871.3397272,129338,0.0048920889385044575
1588107991.3098626,129899,0.006641102954745293
1588108111.3207283,130462,0.0076637277379632
1588108231.3258991,131023,0.02925349771976471
1588108351.2931259,131587,0.006182459183037281
1588108471.3148434,132151,0.007954807952046394
1588108591.3023987,132711,0.009375547058880329
1588108711.2942872,133271,0.02442612498998642
1588108831.3041523,133835,0.013627544045448303
1588108951.3244927,134396,0.016023753210902214
1588109071.3202384,134955,0.023591022938489914
1588109191.295387,135515,0.010363191366195679
1588109311.3122404,136075,0.010098418220877647
1588109431.3675275,136634,0.004442461766302586
1588109551.2893875,137194,0.025853212922811508
1588109671.2951171,137756,0.013679753988981247
1588109791.3348603,138319,0.10384374111890793
1588109911.3272872,138876,0.003955219406634569
1588110031.286174,139441,0.0034073200076818466
1588110151.3321924,140005,0.0025561905931681395
1588110271.3425188,140564,0.007607273291796446
1588110391.3083143,141123,0.09201112389564514
1588110511.3140926,141684,0.010032353922724724
1588110631.3182042,142252,0.008228657767176628
1588110751.3077233,142813,0.017276953905820847
1588110871.2861986,143376,0.0035724176559597254
1588110991.2941666,143936,0.006613342557102442
1588111111.29404,144498,0.009938145987689495
1588111231.3122752,145058,0.006387284025549889
1588111351.3397057,145617,0.008769256994128227
1588111471.332848,146178,0.008718173950910568
1588111591.3415742,146742,0.01801411248743534
1588111711.3359864,147305,0.003576669842004776
1588111831.28945,147866,0.01495782658457756
1588111951.2730832,148425,0.006695977412164211
1588112071.290284,148991,0.005106145981699228
1588112191.3148015,149556,0.07907502353191376
1588112311.2989917,150119,0.009018190205097198
1588112431.3483305,150681,0.029521696269512177
1588112551.291758,151244,0.004293607547879219
1588112671.2890623,151807,0.017728149890899658
1588112791.2993462,152375,0.022424394264817238
1588112911.3565052,152945,0.002528929617255926
1588113031.2861943,153514,0.01787293143570423
1588113151.3181722,154083,0.0322343185544014
1588113271.3078601,154652,0.01129462756216526
1588113391.281431,155221,0.002890975447371602
1588113511.3512058,155789,0.037278227508068085
1588113631.2704759,156350,0.0066790347918868065
1588113751.275269,156910,0.0024217027239501476
1588113871.3039525,157473,0.004985516425222158
1588113991.2747443,158040,0.013958480209112167
1588114111.2846735,158602,0.013803564012050629
1588114231.2799854,159166,0.0037955832667648792
1588114351.3093832,159733,0.003351605497300625
1588114471.3391254,160299,0.0043274471536278725
1588114591.295739,160862,0.04395569860935211
1588114711.2852602,161424,0.016367148607969284
1588114831.3085973,161985,0.004004620481282473
1588114951.7276027,162548,0.05563043802976608
1588115071.2764685,163112,0.015294084325432777
1588115191.3610613,163672,0.0047192201018333435
1588115311.320577,164233,0.00725447665899992
1588115431.2781734,164799,0.01275191456079483
1588115551.2635105,165365,0.008994534611701965
1588115671.3325033,165932,0.012639112770557404
1588115791.3263297,166499,0.015221727080643177
